"transaction_sk","transaction_ts","transaction_amount","transaction_channel_type_cd","transaction_channel_type_desc","transaction_dr_cr","transaction_ref_num","transaction_status_cd","transaction_status_desc","merchant_id","account_sk"
305196,"2014-09-13","-6.11","NA","NA","NA","NA","NA","NA","NA","2942"
305197,"2014-09-13","-10.03","NA","NA","NA","NA","NA","NA","NA","2942"
305198,"2014-09-14","3300","NA","NA","NA","NA","NA","NA","NA","2942"
305199,"2014-09-14","-110.76","NA","NA","NA","NA","NA","NA","NA","2942"
305200,"2014-09-14","-17.11","NA","NA","NA","NA","NA","NA","NA","2942"
305201,"2014-09-14","9900","NA","NA","NA","NA","NA","NA","NA","2942"
305202,"2014-09-15","-15.6","NA","NA","NA","NA","NA","NA","NA","2942"
305203,"2014-09-16","-4.63","NA","NA","NA","NA","NA","NA","NA","2942"
305204,"2014-09-16","-10.44","NA","NA","NA","NA","NA","NA","NA","2942"
305205,"2014-09-16","-9.24","NA","NA","NA","NA","NA","NA","NA","2942"
305206,"2014-09-17","-6.37","NA","NA","NA","NA","NA","NA","NA","2942"
305207,"2014-09-17","-6.76","NA","NA","NA","NA","NA","NA","NA","2942"
305208,"2014-09-17","-11.71","NA","NA","NA","NA","NA","NA","NA","2942"
305209,"2014-09-17","-7.67","NA","NA","NA","NA","NA","NA","NA","2942"
305210,"2014-09-18","-10.73","NA","NA","NA","NA","NA","NA","NA","2942"
305211,"2014-09-18","-199.24","NA","NA","NA","NA","NA","NA","NA","2942"
305212,"2014-09-19","-9.71","NA","NA","NA","NA","NA","NA","NA","2942"
305213,"2014-09-20","-12.41","NA","NA","NA","NA","NA","NA","NA","2942"
305214,"2014-09-21","-8.31","NA","NA","NA","NA","NA","NA","NA","2942"
305215,"2014-09-21","-13.25","NA","NA","NA","NA","NA","NA","NA","2942"
305216,"2014-09-22","-12.79","NA","NA","NA","NA","NA","NA","NA","2942"
305217,"2014-09-22","-6.25","NA","NA","NA","NA","NA","NA","NA","2942"
305218,"2014-09-22","-9.56","NA","NA","NA","NA","NA","NA","NA","2942"
305219,"2014-09-23","-3.28","NA","NA","NA","NA","NA","NA","NA","2942"
305220,"2014-09-23","-77.45","NA","NA","NA","NA","NA","NA","NA","2942"
305221,"2014-09-23","-9.23","NA","NA","NA","NA","NA","NA","NA","2942"
305222,"2014-09-23","-7.08","NA","NA","NA","NA","NA","NA","NA","2942"
305223,"2014-09-24","-13.93","NA","NA","NA","NA","NA","NA","NA","2942"
305224,"2014-09-24","-13.66","NA","NA","NA","NA","NA","NA","NA","2942"
305225,"2014-09-24","-6.77","NA","NA","NA","NA","NA","NA","NA","2942"
305226,"2014-09-24","-12.47","NA","NA","NA","NA","NA","NA","NA","2942"
305227,"2014-09-25","-13.51","NA","NA","NA","NA","NA","NA","NA","2942"
305228,"2014-09-25","-9.26","NA","NA","NA","NA","NA","NA","NA","2942"
305229,"2014-09-25","-11.56","NA","NA","NA","NA","NA","NA","NA","2942"
305230,"2014-09-25","-11.42","NA","NA","NA","NA","NA","NA","NA","2942"
305231,"2014-09-25","-3.57","NA","NA","NA","NA","NA","NA","NA","2942"
305232,"2014-09-26","-11.09","NA","NA","NA","NA","NA","NA","NA","2942"
305233,"2014-09-26","-77.39","NA","NA","NA","NA","NA","NA","NA","2942"
305234,"2014-09-27","-11.82","NA","NA","NA","NA","NA","NA","NA","2942"
305235,"2014-09-27","-9.53","NA","NA","NA","NA","NA","NA","NA","2942"
305236,"2014-09-27","-3.98","NA","NA","NA","NA","NA","NA","NA","2942"
305237,"2014-09-27","-10.73","NA","NA","NA","NA","NA","NA","NA","2942"
305238,"2014-09-28","-12.29","NA","NA","NA","NA","NA","NA","NA","2942"
305239,"2014-09-28","-7.26","NA","NA","NA","NA","NA","NA","NA","2942"
305240,"2014-09-29","-8.47","NA","NA","NA","NA","NA","NA","NA","2942"
305241,"2014-09-29","-128.72","NA","NA","NA","NA","NA","NA","NA","2942"
305242,"2014-09-30","-15.28","NA","NA","NA","NA","NA","NA","NA","2942"
305243,"2014-09-30","-8.54","NA","NA","NA","NA","NA","NA","NA","2942"
305244,"2014-10-01","-12.3","NA","NA","NA","NA","NA","NA","NA","2942"
305245,"2014-10-01","-154.68","NA","NA","NA","NA","NA","NA","NA","2942"
305246,"2014-10-01","-13.17","NA","NA","NA","NA","NA","NA","NA","2942"
305247,"2014-10-01","-8.73","NA","NA","NA","NA","NA","NA","NA","2942"
305248,"2014-10-01","-10.73","NA","NA","NA","NA","NA","NA","NA","2942"
305249,"2014-10-02","-10.43","NA","NA","NA","NA","NA","NA","NA","2942"
305250,"2014-10-02","-11.38","NA","NA","NA","NA","NA","NA","NA","2942"
305251,"2014-10-02","-126.42","NA","NA","NA","NA","NA","NA","NA","2942"
305252,"2014-10-03","-12.0","NA","NA","NA","NA","NA","NA","NA","2942"
305253,"2014-10-03","-6.87","NA","NA","NA","NA","NA","NA","NA","2942"
305254,"2014-10-04","-8.72","NA","NA","NA","NA","NA","NA","NA","2942"
305255,"2014-10-05","-10.31","NA","NA","NA","NA","NA","NA","NA","2942"
305256,"2014-10-05","-10.0","NA","NA","NA","NA","NA","NA","NA","2942"
305257,"2014-10-05","-8.46","NA","NA","NA","NA","NA","NA","NA","2942"
305258,"2014-10-05","-8.76","NA","NA","NA","NA","NA","NA","NA","2942"
305259,"2014-10-06","-16.59","NA","NA","NA","NA","NA","NA","NA","2942"
305260,"2014-10-06","-8.63","NA","NA","NA","NA","NA","NA","NA","2942"
305261,"2014-10-06","-10.4","NA","NA","NA","NA","NA","NA","NA","2942"
305262,"2014-10-06","3300","NA","NA","NA","NA","NA","NA","NA","2942"
305263,"2014-10-06","-8.21","NA","NA","NA","NA","NA","NA","NA","2942"
305264,"2014-10-07","-167.09","NA","NA","NA","NA","NA","NA","NA","2942"
305265,"2014-10-08","-10.3","NA","NA","NA","NA","NA","NA","NA","2942"
305266,"2014-10-09","-6.64","NA","NA","NA","NA","NA","NA","NA","2942"
305267,"2014-10-09","-14.05","NA","NA","NA","NA","NA","NA","NA","2942"
305268,"2014-10-09","-15.55","NA","NA","NA","NA","NA","NA","NA","2942"
305269,"2014-10-09","-4.6","NA","NA","NA","NA","NA","NA","NA","2942"
305270,"2014-10-09","-5.84","NA","NA","NA","NA","NA","NA","NA","2942"
305271,"2014-10-10","-10.87","NA","NA","NA","NA","NA","NA","NA","2942"
305272,"2014-10-10","-4.92","NA","NA","NA","NA","NA","NA","NA","2942"
305273,"2014-10-11","-93.74","NA","NA","NA","NA","NA","NA","NA","2942"
305274,"2014-10-11","-11.52","NA","NA","NA","NA","NA","NA","NA","2942"
305275,"2014-10-11","-7.65","NA","NA","NA","NA","NA","NA","NA","2942"
305276,"2014-10-11","-10.75","NA","NA","NA","NA","NA","NA","NA","2942"
305277,"2014-10-11","-77.81","NA","NA","NA","NA","NA","NA","NA","2942"
305278,"2014-10-12","-12.32","NA","NA","NA","NA","NA","NA","NA","2942"
305279,"2014-10-12","-109.27","NA","NA","NA","NA","NA","NA","NA","2942"
305280,"2014-10-12","4400","NA","NA","NA","NA","NA","NA","NA","2942"
305281,"2014-10-12","-17.16","NA","NA","NA","NA","NA","NA","NA","2942"
305282,"2014-10-13","-12.55","NA","NA","NA","NA","NA","NA","NA","2942"
305283,"2014-10-13","-14.14","NA","NA","NA","NA","NA","NA","NA","2942"
305284,"2014-10-13","-9.27","NA","NA","NA","NA","NA","NA","NA","2942"
305285,"2014-10-13","-9.7","NA","NA","NA","NA","NA","NA","NA","2942"
305286,"2014-10-13","-14.83","NA","NA","NA","NA","NA","NA","NA","2942"
305287,"2014-10-14","-11.91","NA","NA","NA","NA","NA","NA","NA","2942"
305288,"2014-10-14","-11.12","NA","NA","NA","NA","NA","NA","NA","2942"
305289,"2014-10-14","-3.45","NA","NA","NA","NA","NA","NA","NA","2942"
305290,"2014-10-14","-9.85","NA","NA","NA","NA","NA","NA","NA","2942"
305291,"2014-10-14","-11.48","NA","NA","NA","NA","NA","NA","NA","2942"
305292,"2014-10-15","-12.36","NA","NA","NA","NA","NA","NA","NA","2942"
305293,"2014-10-15","-15.1","NA","NA","NA","NA","NA","NA","NA","2942"
305294,"2014-10-15","-9.22","NA","NA","NA","NA","NA","NA","NA","2942"
305295,"2014-10-16","-14.53","NA","NA","NA","NA","NA","NA","NA","2942"
305296,"2014-10-16","-8.6","NA","NA","NA","NA","NA","NA","NA","2942"
305297,"2014-10-16","-4.92","NA","NA","NA","NA","NA","NA","NA","2942"
305298,"2014-10-17","-19.46","NA","NA","NA","NA","NA","NA","NA","2942"
305299,"2014-10-17","-10.06","NA","NA","NA","NA","NA","NA","NA","2942"
305300,"2014-10-17","-91.21","NA","NA","NA","NA","NA","NA","NA","2942"
305301,"2014-10-17","-149.76","NA","NA","NA","NA","NA","NA","NA","2942"
305302,"2014-10-18","-13.03","NA","NA","NA","NA","NA","NA","NA","2942"
305303,"2014-10-18","-12.27","NA","NA","NA","NA","NA","NA","NA","2942"
305304,"2014-10-18","-4.11","NA","NA","NA","NA","NA","NA","NA","2942"
305305,"2014-10-18","-10.7","NA","NA","NA","NA","NA","NA","NA","2942"
305306,"2014-10-19","-9.53","NA","NA","NA","NA","NA","NA","NA","2942"
305307,"2014-10-19","-9.0","NA","NA","NA","NA","NA","NA","NA","2942"
305308,"2014-10-19","-15.46","NA","NA","NA","NA","NA","NA","NA","2942"
305309,"2014-10-19","-9.95","NA","NA","NA","NA","NA","NA","NA","2942"
305310,"2014-10-19","-9.5","NA","NA","NA","NA","NA","NA","NA","2942"
305311,"2014-10-20","-7.65","NA","NA","NA","NA","NA","NA","NA","2942"
305312,"2014-10-21","-5.69","NA","NA","NA","NA","NA","NA","NA","2942"
305313,"2014-10-21","-85.77","NA","NA","NA","NA","NA","NA","NA","2942"
305314,"2014-10-22","-11.98","NA","NA","NA","NA","NA","NA","NA","2942"
305315,"2014-10-22","-7.05","NA","NA","NA","NA","NA","NA","NA","2942"
305316,"2014-10-23","-8.67","NA","NA","NA","NA","NA","NA","NA","2942"
305317,"2014-10-24","-6.67","NA","NA","NA","NA","NA","NA","NA","2942"
305318,"2014-10-24","-7.6","NA","NA","NA","NA","NA","NA","NA","2942"
305319,"2014-10-24","8800","NA","NA","NA","NA","NA","NA","NA","2942"
305320,"2014-10-25","-8.72","NA","NA","NA","NA","NA","NA","NA","2942"
305321,"2014-10-25","-9.55","NA","NA","NA","NA","NA","NA","NA","2942"
305322,"2014-10-25","-18.32","NA","NA","NA","NA","NA","NA","NA","2942"
305323,"2014-10-25","-7.18","NA","NA","NA","NA","NA","NA","NA","2942"
305324,"2014-10-26","-131.27","NA","NA","NA","NA","NA","NA","NA","2942"
305325,"2014-10-26","-10.87","NA","NA","NA","NA","NA","NA","NA","2942"
305326,"2014-10-26","-6.26","NA","NA","NA","NA","NA","NA","NA","2942"
305327,"2014-10-27","-188.68","NA","NA","NA","NA","NA","NA","NA","2942"
305328,"2014-10-27","1100","NA","NA","NA","NA","NA","NA","NA","2942"
305329,"2014-10-28","-7.13","NA","NA","NA","NA","NA","NA","NA","2942"
305330,"2014-10-28","-12.68","NA","NA","NA","NA","NA","NA","NA","2942"
305331,"2014-10-29","-8.07","NA","NA","NA","NA","NA","NA","NA","2942"
305332,"2014-10-29","-158.64","NA","NA","NA","NA","NA","NA","NA","2942"
305333,"2014-10-29","-11.12","NA","NA","NA","NA","NA","NA","NA","2942"
305334,"2014-10-30","-8.11","NA","NA","NA","NA","NA","NA","NA","2942"
305335,"2014-10-30","-14.43","NA","NA","NA","NA","NA","NA","NA","2942"
305336,"2014-10-30","-12.57","NA","NA","NA","NA","NA","NA","NA","2942"
305337,"2014-09-26","-7500","NA","NA","NA","NA","NA","NA","NA","2943"
305338,"2014-10-13","-5000","NA","NA","NA","NA","NA","NA","NA","2943"
305339,"2014-09-01","1408.48","NA","NA","NA","NA","NA","NA","NA","2944"
305340,"2014-09-01","2581.83","NA","NA","NA","NA","NA","NA","NA","2944"
305341,"2014-09-01","2860.1","NA","NA","NA","NA","NA","NA","NA","2944"
305342,"2014-09-01","2155.34","NA","NA","NA","NA","NA","NA","NA","2944"
305343,"2014-09-02","1631.29","NA","NA","NA","NA","NA","NA","NA","2944"
305344,"2014-09-03","2944.41","NA","NA","NA","NA","NA","NA","NA","2944"
305345,"2014-09-03","1868.15","NA","NA","NA","NA","NA","NA","NA","2944"
305346,"2014-09-03","2292.48","NA","NA","NA","NA","NA","NA","NA","2944"
305347,"2014-09-03","1437.6","NA","NA","NA","NA","NA","NA","NA","2944"
305348,"2014-09-04","1223.15","NA","NA","NA","NA","NA","NA","NA","2944"
305349,"2014-09-04","2565.72","NA","NA","NA","NA","NA","NA","NA","2944"
305350,"2014-09-04","2925.22","NA","NA","NA","NA","NA","NA","NA","2944"
305351,"2014-09-04","2576.66","NA","NA","NA","NA","NA","NA","NA","2944"
305352,"2014-09-04","2031.58","NA","NA","NA","NA","NA","NA","NA","2944"
305353,"2014-09-05","1363.27","NA","NA","NA","NA","NA","NA","NA","2944"
305354,"2014-09-05","2069.04","NA","NA","NA","NA","NA","NA","NA","2944"
305355,"2014-09-05","2668.67","NA","NA","NA","NA","NA","NA","NA","2944"
305356,"2014-09-06","2768.76","NA","NA","NA","NA","NA","NA","NA","2944"
305357,"2014-09-06","2846.49","NA","NA","NA","NA","NA","NA","NA","2944"
305358,"2014-09-06","1423.05","NA","NA","NA","NA","NA","NA","NA","2944"
305359,"2014-09-06","1664.76","NA","NA","NA","NA","NA","NA","NA","2944"
305360,"2014-09-07","1180.15","NA","NA","NA","NA","NA","NA","NA","2944"
305361,"2014-09-07","1490.7","NA","NA","NA","NA","NA","NA","NA","2944"
305362,"2014-09-08","2637.71","NA","NA","NA","NA","NA","NA","NA","2944"
305363,"2014-09-08","1507.19","NA","NA","NA","NA","NA","NA","NA","2944"
305364,"2014-09-08","1133.7","NA","NA","NA","NA","NA","NA","NA","2944"
305365,"2014-09-08","1925.48","NA","NA","NA","NA","NA","NA","NA","2944"
305366,"2014-09-08","1422.79","NA","NA","NA","NA","NA","NA","NA","2944"
305367,"2014-09-09","1765.87","NA","NA","NA","NA","NA","NA","NA","2944"
305368,"2014-09-09","1145.54","NA","NA","NA","NA","NA","NA","NA","2944"
305369,"2014-09-10","1629.79","NA","NA","NA","NA","NA","NA","NA","2944"
305370,"2014-09-10","1942.64","NA","NA","NA","NA","NA","NA","NA","2944"
305371,"2014-09-11","2138.21","NA","NA","NA","NA","NA","NA","NA","2944"
305372,"2014-09-12","1181.74","NA","NA","NA","NA","NA","NA","NA","2944"
305373,"2014-09-13","-14.38","NA","NA","NA","NA","NA","NA","NA","2944"
305374,"2014-09-13","1861.01","NA","NA","NA","NA","NA","NA","NA","2944"
305375,"2014-09-13","1708.23","NA","NA","NA","NA","NA","NA","NA","2944"
305376,"2014-09-13","1875.91","NA","NA","NA","NA","NA","NA","NA","2944"
305377,"2014-09-14","-19.83","NA","NA","NA","NA","NA","NA","NA","2944"
305378,"2014-09-15","1321.61","NA","NA","NA","NA","NA","NA","NA","2944"
305379,"2014-09-15","-3.93","NA","NA","NA","NA","NA","NA","NA","2944"
305380,"2014-09-15","2542.81","NA","NA","NA","NA","NA","NA","NA","2944"
305381,"2014-09-15","2977.14","NA","NA","NA","NA","NA","NA","NA","2944"
305382,"2014-09-16","2540.07","NA","NA","NA","NA","NA","NA","NA","2944"
305383,"2014-09-16","2664.81","NA","NA","NA","NA","NA","NA","NA","2944"
305384,"2014-09-16","2674.06","NA","NA","NA","NA","NA","NA","NA","2944"
305385,"2014-09-17","1639.03","NA","NA","NA","NA","NA","NA","NA","2944"
305386,"2014-09-18","2121.25","NA","NA","NA","NA","NA","NA","NA","2944"
305387,"2014-09-18","2325.44","NA","NA","NA","NA","NA","NA","NA","2944"
305388,"2014-09-18","2154.07","NA","NA","NA","NA","NA","NA","NA","2944"
305389,"2014-09-18","2601.29","NA","NA","NA","NA","NA","NA","NA","2944"
305390,"2014-09-19","2451.96","NA","NA","NA","NA","NA","NA","NA","2944"
305391,"2014-09-20","1162.97","NA","NA","NA","NA","NA","NA","NA","2944"
305392,"2014-09-20","1538.81","NA","NA","NA","NA","NA","NA","NA","2944"
305393,"2014-09-20","-14.21","NA","NA","NA","NA","NA","NA","NA","2944"
305394,"2014-09-20","2590.86","NA","NA","NA","NA","NA","NA","NA","2944"
305395,"2014-09-20","2460.59","NA","NA","NA","NA","NA","NA","NA","2944"
305396,"2014-09-21","2018.95","NA","NA","NA","NA","NA","NA","NA","2944"
305397,"2014-09-21","2356.98","NA","NA","NA","NA","NA","NA","NA","2944"
305398,"2014-09-21","2962.06","NA","NA","NA","NA","NA","NA","NA","2944"
305399,"2014-09-21","2103.13","NA","NA","NA","NA","NA","NA","NA","2944"
305400,"2014-09-21","1055.63","NA","NA","NA","NA","NA","NA","NA","2944"
305401,"2014-09-22","2947.39","NA","NA","NA","NA","NA","NA","NA","2944"
305402,"2014-09-22","1247.66","NA","NA","NA","NA","NA","NA","NA","2944"
305403,"2014-09-22","2329.9","NA","NA","NA","NA","NA","NA","NA","2944"
305404,"2014-09-22","1613.55","NA","NA","NA","NA","NA","NA","NA","2944"
305405,"2014-09-22","1720.14","NA","NA","NA","NA","NA","NA","NA","2944"
305406,"2014-09-23","2293.14","NA","NA","NA","NA","NA","NA","NA","2944"
305407,"2014-09-24","2382.71","NA","NA","NA","NA","NA","NA","NA","2944"
305408,"2014-09-24","1462.0","NA","NA","NA","NA","NA","NA","NA","2944"
305409,"2014-09-25","1583.2","NA","NA","NA","NA","NA","NA","NA","2944"
305410,"2014-09-25","1335.67","NA","NA","NA","NA","NA","NA","NA","2944"
305411,"2014-09-25","1965.82","NA","NA","NA","NA","NA","NA","NA","2944"
305412,"2014-09-25","2171.86","NA","NA","NA","NA","NA","NA","NA","2944"
305413,"2014-09-26","1125.65","NA","NA","NA","NA","NA","NA","NA","2944"
305414,"2014-09-26","1661.1","NA","NA","NA","NA","NA","NA","NA","2944"
305415,"2014-09-26","2479.25","NA","NA","NA","NA","NA","NA","NA","2944"
305416,"2014-09-26","-25.76","NA","NA","NA","NA","NA","NA","NA","2944"
305417,"2014-09-27","2767.97","NA","NA","NA","NA","NA","NA","NA","2944"
305418,"2014-09-28","2144.59","NA","NA","NA","NA","NA","NA","NA","2944"
305419,"2014-09-28","1036.71","NA","NA","NA","NA","NA","NA","NA","2944"
305420,"2014-09-29","1847.81","NA","NA","NA","NA","NA","NA","NA","2944"
305421,"2014-09-30","2530.3","NA","NA","NA","NA","NA","NA","NA","2944"
305422,"2014-09-30","1882.38","NA","NA","NA","NA","NA","NA","NA","2944"
305423,"2014-09-30","2185.65","NA","NA","NA","NA","NA","NA","NA","2944"
305424,"2014-10-01","1121.22","NA","NA","NA","NA","NA","NA","NA","2944"
305425,"2014-10-01","1112.53","NA","NA","NA","NA","NA","NA","NA","2944"
305426,"2014-10-01","1182.18","NA","NA","NA","NA","NA","NA","NA","2944"
305427,"2014-10-01","2179.4","NA","NA","NA","NA","NA","NA","NA","2944"
305428,"2014-10-01","1812.69","NA","NA","NA","NA","NA","NA","NA","2944"
305429,"2014-10-02","1680.4","NA","NA","NA","NA","NA","NA","NA","2944"
305430,"2014-10-02","2541.81","NA","NA","NA","NA","NA","NA","NA","2944"
305431,"2014-10-02","2977.22","NA","NA","NA","NA","NA","NA","NA","2944"
305432,"2014-10-02","1985.15","NA","NA","NA","NA","NA","NA","NA","2944"
305433,"2014-10-03","2089.44","NA","NA","NA","NA","NA","NA","NA","2944"
305434,"2014-10-03","2437.57","NA","NA","NA","NA","NA","NA","NA","2944"
305435,"2014-10-03","1925.96","NA","NA","NA","NA","NA","NA","NA","2944"
305436,"2014-10-04","2592.82","NA","NA","NA","NA","NA","NA","NA","2944"
305437,"2014-10-04","2897.22","NA","NA","NA","NA","NA","NA","NA","2944"
305438,"2014-10-04","1629.2","NA","NA","NA","NA","NA","NA","NA","2944"
305439,"2014-10-04","1688.29","NA","NA","NA","NA","NA","NA","NA","2944"
305440,"2014-10-05","2210.85","NA","NA","NA","NA","NA","NA","NA","2944"
305441,"2014-10-05","2380.55","NA","NA","NA","NA","NA","NA","NA","2944"
305442,"2014-10-05","2754.36","NA","NA","NA","NA","NA","NA","NA","2944"
305443,"2014-10-06","2754.64","NA","NA","NA","NA","NA","NA","NA","2944"
305444,"2014-10-06","1280.63","NA","NA","NA","NA","NA","NA","NA","2944"
305445,"2014-10-06","-205.56","NA","NA","NA","NA","NA","NA","NA","2944"
305446,"2014-10-06","2656.1","NA","NA","NA","NA","NA","NA","NA","2944"
305447,"2014-10-06","1764.42","NA","NA","NA","NA","NA","NA","NA","2944"
305448,"2014-10-07","1596.25","NA","NA","NA","NA","NA","NA","NA","2944"
305449,"2014-10-08","1636.73","NA","NA","NA","NA","NA","NA","NA","2944"
305450,"2014-10-09","1359.24","NA","NA","NA","NA","NA","NA","NA","2944"
305451,"2014-10-10","1981.04","NA","NA","NA","NA","NA","NA","NA","2944"
305452,"2014-10-10","1272.21","NA","NA","NA","NA","NA","NA","NA","2944"
305453,"2014-10-10","1005.6","NA","NA","NA","NA","NA","NA","NA","2944"
305454,"2014-10-11","2849.65","NA","NA","NA","NA","NA","NA","NA","2944"
305455,"2014-10-12","2891.61","NA","NA","NA","NA","NA","NA","NA","2944"
305456,"2014-10-12","2130.43","NA","NA","NA","NA","NA","NA","NA","2944"
305457,"2014-10-12","1977.14","NA","NA","NA","NA","NA","NA","NA","2944"
305458,"2014-10-12","2771.23","NA","NA","NA","NA","NA","NA","NA","2944"
305459,"2014-10-13","1499.3","NA","NA","NA","NA","NA","NA","NA","2944"
305460,"2014-10-13","2369.54","NA","NA","NA","NA","NA","NA","NA","2944"
305461,"2014-10-13","1905.57","NA","NA","NA","NA","NA","NA","NA","2944"
305462,"2014-10-13","1014.17","NA","NA","NA","NA","NA","NA","NA","2944"
305463,"2014-10-14","1841.29","NA","NA","NA","NA","NA","NA","NA","2944"
305464,"2014-10-14","1918.87","NA","NA","NA","NA","NA","NA","NA","2944"
305465,"2014-10-14","1973.54","NA","NA","NA","NA","NA","NA","NA","2944"
305466,"2014-10-14","-15.88","NA","NA","NA","NA","NA","NA","NA","2944"
305467,"2014-10-15","2490.97","NA","NA","NA","NA","NA","NA","NA","2944"
305468,"2014-10-15","2293.29","NA","NA","NA","NA","NA","NA","NA","2944"
305469,"2014-10-16","1855.1","NA","NA","NA","NA","NA","NA","NA","2944"
305470,"2014-10-16","2482.46","NA","NA","NA","NA","NA","NA","NA","2944"
305471,"2014-10-16","2952.43","NA","NA","NA","NA","NA","NA","NA","2944"
305472,"2014-10-17","1244.37","NA","NA","NA","NA","NA","NA","NA","2944"
305473,"2014-10-17","1625.45","NA","NA","NA","NA","NA","NA","NA","2944"
305474,"2014-10-18","2957.21","NA","NA","NA","NA","NA","NA","NA","2944"
305475,"2014-10-18","2589.41","NA","NA","NA","NA","NA","NA","NA","2944"
305476,"2014-10-18","2497.78","NA","NA","NA","NA","NA","NA","NA","2944"
305477,"2014-10-19","2741.87","NA","NA","NA","NA","NA","NA","NA","2944"
305478,"2014-10-19","2302.46","NA","NA","NA","NA","NA","NA","NA","2944"
305479,"2014-10-19","2472.61","NA","NA","NA","NA","NA","NA","NA","2944"
305480,"2014-10-19","2368.03","NA","NA","NA","NA","NA","NA","NA","2944"
305481,"2014-10-19","1717.38","NA","NA","NA","NA","NA","NA","NA","2944"
305482,"2014-10-20","1384.74","NA","NA","NA","NA","NA","NA","NA","2944"
305483,"2014-10-20","1256.92","NA","NA","NA","NA","NA","NA","NA","2944"
305484,"2014-10-20","1651.33","NA","NA","NA","NA","NA","NA","NA","2944"
305485,"2014-10-20","1836.58","NA","NA","NA","NA","NA","NA","NA","2944"
305486,"2014-10-20","1424.43","NA","NA","NA","NA","NA","NA","NA","2944"
305487,"2014-10-21","2717.18","NA","NA","NA","NA","NA","NA","NA","2944"
305488,"2014-10-21","2396.57","NA","NA","NA","NA","NA","NA","NA","2944"
305489,"2014-10-22","2776.94","NA","NA","NA","NA","NA","NA","NA","2944"
305490,"2014-10-22","2583.8","NA","NA","NA","NA","NA","NA","NA","2944"
305491,"2014-10-22","2061.71","NA","NA","NA","NA","NA","NA","NA","2944"
305492,"2014-10-22","1417.93","NA","NA","NA","NA","NA","NA","NA","2944"
305493,"2014-10-23","2841.2","NA","NA","NA","NA","NA","NA","NA","2944"
